"Bug ID","Product","Component","Assignee","Status","Resolution","Changed","Summary",,
324090,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:52:13"," Pulldown Toolbar should be able to execute the last action",Usability,
324307,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-02 11:39:31"," DnD of a delegation connector from model explorer is visually wrong placed if it connects an inherited port",CompositeDiagram,
324953,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:51:18"," Papyrus shall provide an editor of Abstract User Interface.",Abstract User Interface Editor,
325014,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-03-07 11:37:04"," Add IElementType specialization for each kind of Pseudostate elements",UMLTypes,
328002,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:46:27"," XText integration shall use Element Edit Service for setting Attribute and References",TextEditors,
328224,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:55:34"," Using Edit Service To Edit the properties of Element",Properties View,
328506,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-08-07 11:29:47"," EditHelper getDestroyDependentCommand ignored when a specific IClientContext is required",ElementTypes,
328557,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-03-07 11:39:21"," Provide move command support in ElementTypes EditHelpers",ElementTypes,
328810,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:59:01"," add a xtext parser to edit template binding",ClassDiagram,
329798,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:49:42"," Cannot define different editors for the same EObject using an additional filter",General,
329865,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-12 10:21:47"," Papyrus shall provide a specific textual editor for ALF.",ALF,
331566,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","2017-09-08 09:46:56"," Compartment variables shall be translateable in property files.",All diagrams,
